时间,用户编号,电量趋势增长指标,线损指标,告警类指标,是否窃漏电
2014年9月6日,9900667154,4,1 ,1,1
2014年9月20日,9900639431,4,0 ,4,1
2014年9月17日,9900585516,2,1 ,1,1
2014年9月14日,9900531154,9,0 ,0,0
2014年9月17日,9900491050,3,1 ,0,0
2014年9月13日,9900461501,2,0 ,0,0
2014年9月22日,9900412593,5,0 ,2,1
2014年9月20日,9900366180,3,1 ,3,1
2014年9月19日,9900322960,3,0 ,0,0
2014年9月9日,9900254673,4,1 ,0,0
2014年9月18日,9900196505,10,1 ,2,1
2014年9月16日,9900145248,10,1 ,3,1
2014年9月6日,9900137535,2,0 ,3,0
2014年9月7日,9900064537,4,0 ,2,0
2014年9月9日,9110103867,3,0 ,0,0
2014年9月23日,9010100689,0,0 ,3,0
2014年9月21日,8910101840,9,0 ,3,1
2014年9月11日,8910101209,0,0 ,2,0
2014年9月19日,8910101132,8,1 ,4,1
2014年9月19日,8910100309,2,0 ,4,0
2014年9月9日,8810101463,3,0 ,1,0
2014年9月9日,8710100857,7,0 ,0,0
2014年9月16日,8610101576,6,0 ,0,0
2014年9月20日,8610101002,4,1 ,2,1
2014年9月24日,8610100611,7,0 ,0,0
2014年9月12日,8510101013,2,1 ,0,0
2014年9月14日,8510100328,5,1 ,0,0
2014年9月6日,8410100932,1,1 ,4,1
2014年9月8日,8310100768,5,1 ,1,1
2014年9月8日,8310100766,1,0 ,2,0
2014年9月12日,8010105371,2,1 ,4,1
2014年9月15日,7890101700,6,1 ,1,1
2014年9月24日,7890101050,6,0 ,1,0
2014年9月15日,7890100127,5,0 ,3,0
2014年9月7日,7410101118,2,1 ,4,1
2014年9月7日,7410100594,4,1 ,0,0
2014年9月13日,7110100918,7,1 ,3,1
2014年9月7日,7010100173,6,0 ,1,0
2014年9月18日,6610100860,1,0 ,3,0
2014年9月24日,6410100669,3,1 ,3,0
2014年9月23日,6310100375,4,0 ,0,0
2014年9月7日,6110102944,8,1 ,0,0
2014年9月11日,6110102380,6,1 ,3,1
2014年9月8日,6110102306,1,1 ,2,0
2014年9月18日,6110102239,4,1 ,0,0
2014年9月15日,6110102165,2,1 ,0,1
2014年9月17日,6110101243,4,0 ,2,1
2014年9月16日,6110101109,7,1 ,1,1
2014年9月9日,6010100999,4,1 ,0,0
2014年9月18日,6010100995,0,1 ,0,0
2014年9月24日,6010100992,1,1 ,3,0
2014年9月19日,6010100989,4,1 ,0,0
2014年9月15日,6010100977,1,1 ,4,1
2014年9月11日,6010100545,6,0 ,0,1
2014年9月7日,4110070531,6,1 ,1,1
2014年9月14日,3310113117,6,0 ,0,0
2014年9月9日,3310106098,0,0 ,4,0
2014年9月15日,3310102225,4,0 ,0,0
2014年9月13日,3310100048,9,1 ,4,1
2014年9月22日,3206063101,0,1 ,2,0
2014年9月23日,3205040070,2,1 ,2,0
2014年9月13日,3202087100,4,1 ,0,0
2014年9月23日,3201142310,9,0 ,4,1
2014年9月9日,9900667154,0,0 ,2,0
2014年9月8日,9900639431,1,0 ,2,0
2014年9月15日,9900585516,0,0 ,0,0
2014年9月11日,9900531154,5,0 ,1,0
2014年9月22日,9900491050,4,0 ,0,0
2014年9月14日,9900461501,5,1 ,1,1
2014年9月19日,9900412593,1,1 ,0,0
2014年9月17日,9900366180,0,1 ,0,0
2014年9月20日,9900322960,4,1 ,0,0
2014年9月17日,9900254673,4,1 ,1,1
2014年9月24日,9900196505,3,0 ,0,0
2014年9月21日,9900145248,2,0 ,2,0
2014年9月22日,9900137535,2,0 ,0,0
2014年9月13日,9110103867,2,1 ,1,0
2014年9月6日,9010100689,4,0 ,2,0
2014年9月16日,8910101840,4,1 ,0,0
2014年9月6日,8910101209,0,0 ,1,0
2014年9月11日,8910101132,5,1 ,1,1
2014年9月24日,8910100309,1,1 ,0,0
2014年9月14日,8810101463,0,0 ,1,0
2014年9月16日,8710100857,2,1 ,2,0
2014年9月23日,8610101576,2,1 ,2,0
2014年9月9日,8610101002,0,0 ,2,0
2014年9月10日,8510101013,2,0 ,1,0
2014年9月18日,8510100328,0,1 ,1,0
2014年9月9日,8410100932,1,0 ,2,0
2014年9月24日,8310100768,4,1 ,0,0
2014年9月15日,8310100766,2,0 ,0,0
2014年9月6日,8010105371,3,0 ,0,0
2014年9月18日,7890101700,5,1 ,1,1
2014年9月20日,7890101050,5,1 ,0,1
2014年9月6日,7410101118,0,0 ,0,0
2014年9月8日,7410100594,3,0 ,0,0
2014年9月8日,7110100918,0,1 ,2,0
2014年9月22日,7010100173,1,0 ,2,0
2014年9月17日,6610100860,1,0 ,1,0
2014年9月23日,6410100669,1,0 ,0,0
2014年9月17日,6310100375,0,0 ,2,0
2014年9月18日,6110102944,2,0 ,2,0
2014年9月14日,6110102380,3,0 ,2,0
2014年9月18日,6110102306,1,0 ,1,0
2014年9月22日,6110102165,2,0 ,2,0
2014年9月7日,6110101243,2,1 ,0,0
2014年9月13日,6010100999,1,0 ,2,0
2014年9月24日,6010100995,3,1 ,1,0
2014年9月17日,6010100992,0,1 ,0,0
2014年9月9日,6010100977,5,0 ,1,0
2014年9月8日,6010100545,5,0 ,0,0
2014年9月9日,4110070531,4,0 ,1,0
2014年9月13日,3310113117,5,1 ,1,0
2014年9月18日,3310106098,5,0 ,0,0
2014年9月9日,3310102225,4,0 ,1,0
2014年9月22日,3310100048,1,1 ,1,0
2014年9月17日,3205040070,1,1 ,2,0
2014年9月11日,3202087100,4,1 ,1,0
2014年9月22日,3201142310,3,1 ,0,0
2014年9月15日,9900196505,2,1 ,1,0
2014年9月20日,9900145248,0,0 ,2,0
2014年9月17日,9900137535,3,0 ,1,0
2014年9月10日,9900064537,0,0 ,1,0
2014年9月19日,9110103867,3,0 ,1,0
2014年9月10日,9010100689,3,0 ,0,0
2014年9月18日,8910101840,5,1 ,2,1
2014年9月24日,8910101209,4,0 ,0,0
2014年9月7日,8910101132,4,0 ,1,0
2014年9月7日,8910100309,0,0 ,1,0
2014年9月18日,8710100857,2,0 ,2,0
2014年9月19日,8610101576,2,0 ,2,0
2014年9月15日,8610101002,5,1 ,1,1
2014年9月12日,8610100611,2,1 ,1,0
2014年9月11日,8510101013,4,0 ,0,0
2014年9月24日,8510100328,4,0 ,2,0
2014年9月13日,8410100932,2,0 ,2,0
2014年9月16日,8310100768,3,1 ,0,0
2014年9月6日,8310100766,2,0 ,0,0
2014年9月6日,7890101700,7,1 ,4,1
2014年9月14日,7890101050,5,0 ,0,0
2014年9月11日,7890100127,4,0 ,0,0
2014年9月22日,7410101118,5,0 ,1,0
2014年9月16日,7410100594,5,1 ,2,0
2014年9月20日,7110100918,5,1 ,1,0
2014年9月10日,7010100173,4,1 ,2,0
2014年9月16日,6610100860,1,0 ,2,0
2014年9月18日,9502627631,0,0 ,2,0
2014年9月15日,8658818350,3,1 ,2,0
2014年9月8日,7115817425,1,0 ,0,0
2014年9月9日,8877508870,1,1 ,2,0
2014年9月14日,9487262629,2,0 ,1,0
2014年9月7日,7908101438,0,0 ,1,0
2014年9月9日,9331608901,2,1 ,2,0
2014年9月7日,8208556516,1,1 ,0,0
2014年9月9日,8104722220,5,1 ,2,1
2014年9月15日,7376075653,1,1 ,2,0
2014年9月14日,6867322865,0,1 ,1,0
2014年9月17日,9157667370,3,0 ,0,0
2014年9月9日,7792048412,3,0 ,0,0
2014年9月17日,8214475290,1,1 ,2,0
2014年9月18日,7450765974,2,0 ,0,0
2014年9月9日,9109431563,4,1 ,1,0
2014年9月23日,8038650711,3,0 ,1,0
2014年9月21日,6750454023,3,1 ,2,0
2014年9月19日,9212394012,1,1 ,1,0
2014年9月7日,8097579161,3,1 ,2,0
2014年9月12日,9049331232,0,1 ,1,0
2014年9月11日,7268828228,1,0 ,2,0
2014年9月13日,8842574723,3,0 ,2,0
2014年9月7日,8382606129,1,1 ,1,0
2014年9月9日,8787968155,3,0 ,2,0
2014年9月8日,8534171432,2,0 ,2,0
2014年9月9日,9883291706,4,1 ,2,1
2014年9月17日,8988639385,0,1 ,2,0
2014年9月22日,9775844261,3,1 ,2,0
2014年9月7日,9601583437,3,1 ,2,0
2014年9月14日,9662660325,4,0 ,0,0
2014年9月12日,7442785798,1,1 ,2,0
2014年9月22日,7671252796,4,0 ,2,0
2014年9月19日,9620955088,2,1 ,2,0
2014年9月14日,9366015368,4,0 ,2,0
2014年9月8日,6743681936,5,0 ,0,0
2014年9月19日,9366548902,0,1 ,2,0
2014年9月9日,9515720779,2,1 ,1,0
2014年9月8日,8337625674,0,0 ,2,0
2014年9月21日,8966262149,2,1 ,0,0
2014年9月11日,8853684792,3,1 ,0,0
2014年9月14日,8515840516,0,0 ,1,0
2014年9月23日,6616226634,1,0 ,1,0
2014年9月11日,7751788966,0,1 ,2,0
2014年9月21日,9828821535,4,0 ,0,0
2014年9月23日,7966179079,3,0 ,0,0
2014年9月11日,9367955616,2,0 ,1,0
2014年9月14日,9898459860,1,1 ,0,0
2014年9月20日,7523957052,3,1 ,1,0
2014年9月12日,7983943250,2,1 ,0,0
2014年9月13日,9721286496,3,1 ,2,0
2014年9月18日,8610137487,2,1 ,1,0
2014年9月19日,8967368136,2,1 ,0,0
2014年9月8日,8107082998,4,1 ,0,0
2014年9月23日,9604587468,3,1 ,0,0
2014年9月23日,9226029407,0,0 ,2,0
2014年9月24日,7702483677,4,1 ,0,0
2014年9月8日,8441163078,3,1 ,0,0
2014年9月12日,7291352458,1,0 ,2,0
2014年9月20日,9730163621,5,1 ,1,1
2014年9月8日,6917558557,3,1 ,1,0
2014年9月22日,7867799214,4,1 ,1,0
2014年9月7日,8857207773,4,1 ,0,0
2014年9月6日,8297183046,0,0 ,0,0
2014年9月19日,8767743513,1,1 ,1,0
2014年9月23日,6936154076,1,0 ,0,0
2014年9月17日,9148973566,0,0 ,0,0
2014年9月6日,8091393830,0,0 ,0,0
2014年9月18日,9715300781,0,0 ,0,0
2014年9月9日,7762490751,0,0 ,1,0
2014年9月19日,7292711881,2,0 ,0,0
2014年9月23日,9746606175,1,1 ,1,0
2014年9月12日,7299355777,5,1 ,2,1
2014年9月15日,8993548047,2,1 ,0,0
2014年9月23日,9738097445,0,0 ,2,0
2014年9月18日,9487039658,1,0 ,2,0
2014年9月20日,8414427223,4,1 ,1,0
2014年9月10日,6645451721,3,0 ,2,0
2014年9月6日,8626621036,0,0 ,1,0
2014年9月9日,9270870337,4,1 ,2,0
2014年9月21日,7742348990,5,1 ,0,1
2014年9月19日,8349022387,2,1 ,0,0
2014年9月8日,8630366188,3,1 ,1,0
2014年9月21日,7228480328,4,0 ,2,0
2014年9月19日,7845692501,0,0 ,0,0
2014年9月13日,8122309836,3,1 ,0,0
2014年9月23日,7346433666,4,0 ,2,0
2014年9月9日,7254274132,3,1 ,2,0
2014年9月10日,9462122936,4,0 ,0,0
2014年9月24日,9055115592,2,0 ,2,0
2014年9月11日,7187341457,3,0 ,1,0
2014年9月22日,7765801137,3,1 ,1,0
2014年9月11日,7764863441,0,0 ,2,0
2014年9月16日,8708608482,0,1 ,1,0
2014年9月15日,8900798074,4,1 ,0,0
2014年9月23日,7182911937,1,1 ,2,0
2014年9月19日,9345619411,1,1 ,0,0
2014年9月21日,9249786414,0,1 ,0,0
2014年9月21日,6958731163,3,0 ,2,0
2014年9月12日,6757574957,0,1 ,0,0
2014年9月24日,9144126649,3,0 ,2,0
2014年9月13日,8041851075,0,1 ,0,0
2014年9月20日,8397441003,5,1 ,2,1
2014年9月13日,9409940617,1,1 ,2,0
2014年9月20日,7666767228,5,0 ,1,0
2014年9月7日,8186310160,0,1 ,1,0
2014年9月18日,9350311373,4,1 ,0,0
2014年9月19日,8004959753,5,0 ,2,0
2014年9月9日,9731772092,0,0 ,2,0
2014年9月6日,9702614011,0,0 ,0,0
2014年9月20日,7186424858,1,1 ,2,0
2014年9月6日,8388995821,3,1 ,0,0
2014年9月23日,9797210738,0,1 ,2,0
2014年9月11日,8118441514,0,0 ,0,0
2014年9月16日,7968968939,1,0 ,2,0
2014年9月22日,6779030244,5,1 ,2,0
2014年9月11日,8657200749,2,0 ,2,0
2014年9月10日,6920069631,5,0 ,0,0
2014年9月17日,7716825602,2,0 ,2,0
2014年9月11日,8031951179,2,0 ,0,0
2014年9月21日,8148518076,3,1 ,2,0
2014年9月6日,8235662654,5,1 ,0,0
2014年9月14日,6786724752,4,1 ,2,0
2014年9月7日,7377994459,1,0 ,1,0
2014年9月22日,9609624236,4,0 ,2,0
2014年9月19日,7345475736,2,1 ,1,0
2014年9月11日,8122337055,1,1 ,2,0
2014年9月21日,6619596984,1,0 ,0,0
2014年9月8日,8336736709,2,1 ,1,0
2014年9月16日,8767518149,3,0 ,1,0
2014年9月15日,8887466474,0,1 ,1,0
2014年9月7日,8461972149,0,1 ,0,0
2014年9月19日,9360785327,0,1 ,1,0
2014年9月10日,9726223625,1,0 ,1,0
2014年9月18日,7817932282,2,0 ,2,0
2014年9月9日,7378082228,3,0 ,2,0
2014年9月12日,9688568946,4,0 ,0,0
2014年9月21日,7079153928,2,1 ,0,0
2014年9月16日,9243370050,3,1 ,2,0
2014年9月12日,8257108480,3,0 ,1,0
2014年9月12日,8245534726,4,1 ,2,0
2014年9月8日,7411977644,1,0 ,2,0
2014年9月22日,9268129409,5,1 ,2,1
2014年9月8日,8553690526,2,1 ,0,0
2014年9月7日,8402492807,4,1 ,0,0
